period,hour,demand(MWh),air_temp,precipitable_water,humidity
2023-01-07,8,799.426,8.1,0,47
2023-01-07,9,797.134,8.1,0,49
2023-01-07,10,716.088,8.1,0,46
2023-01-07,11,668.425,8.6,0,49
2023-01-07,12,630.637,8.9,0,46
2023-01-07,13,594.13,8.9,0,44
2023-01-07,14,594.156,9.3,0,48
2023-01-07,15,606.12,9.5,0,50
2023-01-07,16,643.034,9.7,0,49
2023-01-07,17,727.823,9,0,52
2023-01-07,18,849.57,8.6,0,53
2023-01-07,19,917.513,8,0,61
2023-01-07,20,917.796,8.3,0,60
2023-01-07,21,906.901,7.8,0,61
2023-01-07,22,886.041,7.1,0,62
2023-01-07,23,875.048,7.1,0,63
2023-01-08,0,868.013,4.5,0,72
2023-01-08,1,829.188,3.1,0,79
2023-01-08,2,795.342,2.5,0,83
2023-01-08,3,775.875,2.6,0,83
2023-01-08,4,763.83,1.5,0,85
2023-01-08,5,763.884,2.4,0,85
2023-01-08,6,776.907,1.6,0,86
2023-01-08,7,799.851,1.6,0,86
2023-01-08,8,821.407,2.7,0,86
2023-01-08,9,780.104,5.8,0,77
2023-01-08,10,645.292,9.8,0,52
2023-01-08,11,590.208,10.5,0,47
2023-01-08,12,558.291,11.9,0,42
2023-01-08,13,538.161,11.4,0,43
2023-01-08,14,541.6,12,0,49
2023-01-08,15,559.304,12.7,0,47
2023-01-08,16,594.583,12.9,0,47
2023-01-08,17,666.46,12.3,0,50
2023-01-08,18,779.463,9.4,0,63
2023-01-08,19,867.373,8.5,0,65
2023-01-08,20,881.381,8.5,0,66
2023-01-08,21,874.802,8.6,0,67
2023-01-08,22,855.578,8.2,0,71
2023-01-08,23,838.476,8.4,0,71
2023-01-09,0,824.2,8.8,0,71
2023-01-09,1,777.864,9.4,0,70
2023-01-09,2,742.08,9.5,0,71
2023-01-09,3,718.015,10.2,0,67
2023-01-09,4,704.344,10.5,0,66
2023-01-09,5,707.857,10.1,0,65
2023-01-09,6,726.227,9.7,0,67
2023-01-09,7,760.012,10.1,0,73
2023-01-09,8,813.036,11,0,75
2023-01-09,9,844.761,11.8,0,74
2023-01-09,10,792.756,13.5,0,69
2023-01-09,11,727.942,14,0,65
2023-01-09,12,693.317,14.9,0,61
2023-01-09,13,646.804,15.1,0,63
2023-01-09,14,681.504,12.2,0,83
2023-01-09,15,722.834,11.5,0,81
2023-01-09,16,746.641,11,0,78
2023-01-09,17,783.419,10.6,0,76
2023-01-09,18,858.718,9.6,0,74
2023-01-09,19,901.709,9.2,0,73
